mean_toxicity_score,aggregated_text
0.78711975,"bitch. In many cases, this was to provide a way for girls younger than the girls they are interested in to talk to them. This, too, shows that the boys who make this argument and use this approach are in a place of authority in"
0.78207105,fuck all” on the wall. The artists who created these works aren’t just talking about themselves as a species. They’re speaking of the entire human race. The paintings here take the form of a post-humorous commentary on the
0.9563754,"here to fuck shit up. And we're here to fuck up this world, man. No one is going to fuck with us because we are going fuck them right back. 20th Century Music. We're not even afraid to"
0.8299589,"wanna go, I'm like nah/I had a bitch in every city/Spend her money then we split/I'm about that pussy like Kobe/I need some new pussy like Aye/I need the ass"
0.57271194,knows the difference among the many other men with his name of “sucker” ....  We know that there is such a thing as the Dumb’s.  Now we cannot see how the Smart’s could give all the
0.743089,A euphoric sensation that occurs after dumping a fuckboy. Post-dump-fuckboy glow is similar but less intense.  Today is the one-year anniversary of me dumping my ex-boyfriend. I
0.8364697,"you are an idiot."" — The Beatles — John Lennon on 14/12/69 (I think).  > A man from Mars asked about the U.S.A. President, ""Why is"
0.6588125,"going to kill you."" ""He put the noose over my head."" ""And the next thing I know I'm in the hospital and the noose was around my neck.""  On Thursday, April 18th, the New"
0.85333383,a dick in his mouthThat I'd like to tryIf you took off his teethThat's where the dicks would goAnd it would be a dick in your assYou get the picture??  Matt from Dundalk
0.88599813,"brain-dead, drooling, submoronic gits. The majority of you are of so little value you should be drowned at birth. No wonder the world is exploding into war – insignificant cocksuckers like"
0.76197964,"and have all the pussy I wanted, even though I wasn’t a nigger?”  Lynch then proceeded to give a lecture about how he grew up in the heart of Mississippi – which was basically the heart of a red"
0.76523775,"that young man shit, and the girl, and me. I was the only guy left and they'd left me there alone with this monster. I felt like I was in a strange country with no friends, like it was the morning after my"
0.6308517,"and a half? The average penis size is between five and six inches, and most men who measure in at the very high and very low spectrum of penis sizes say that they're happier now that they have adjusted to their size. The penis"
0.8403191,with the negative attitude just let people live their lives and stop fucking commenting on how other men wear there fucking hats on the internet dude you get it yet  Posted
0.9391453,"f*ck em i dont need em i dont want them n*ggas i hate em""  When one Twitter user asked him if he hates all black people Smith responded that he's ""fucking with all my brotha"
0.73663366,"shill for Sony and that’s it. Sony’s been bending over the wrong way for quite a while, I’m not a fucking moron and you’re not either so if you are there’s no need to comment"
0.8540474,"clit sucking are always welcome, and she never seems to tire of blowjobs. On the more experimental side, she will try out any dirty toy or sexual position in the book. She loves having sex outside and especially loves fucking on the"
0.76197964,"it.  You are the reason so many of our kids are growing up in broken homes, because you cannot look another woman in the face.  And before you say, “well why would I marry that bitch if I don’t"
0.7510937,"white genocide, kill all jews.”  On Thursday, a New York Times story detailed how Twitter’s automated systems regularly flagged tweets for review by human moderators, “often making them subject to internal censorship rules"
0.6611249,"judge, I would have been, ‘Fucking kill it!'”  Grohl also recalled Wilson was the first person to send him condolences when his father passed away.  The interview ended with Grohl stating how he"
0.5885171,", break me, beat me, but do not bore me.  -Ambrose Bierce on sex, from *The Devil's Dictionary*.  ## 12.02.2010"
0.7675452,a huge white meat slab in that tight little vagina! He starts off by sucking on her tits and fingering her pussy. She then gets bent over the kitchen island where we get some incredible reverse cowgirl action as her husband
0.9288007,", young nigga / Who got your girl on my dick like a dildo? Nobody, don’t you ever step with me and act a fool / Fuckin’ with me get you motherfucking killed /"
0.6027529,who has sold out to the mainstream  I remember in the 70’s listening to Don and Dick on the radio as a kid and how much they meant to me  I never saw so much of this bullshit from them before
0.55739564,"there I’d say the exact same thing  Fuck no, @BloodworthPhoto . I’m so sorry to hear about this.  Tony Kays @Tony_Kays ·  @Blo"
0.8629672,"” don’t realise he’s saying “Fuck Hate, Fuck Racism, and Fuck Religion”.  If you were to ask Dawkins, he’d say he’s fighting the good fight, he would tell"
0.6611249,"I’ll kill you!”, brandished his gun and shot, the first and only one: she’s dead. The youngster, in his 30-year-old, took the subway and began to read the book"
0.8460273,"loved it. I knew some girls did anal sex because their assholes seemed to stay wide open for a while after the man pulled out. Also, when two guys were having anal sex, I’ve noticed the one on the bottom’s asshole"
0.85850734,". He’s just stood there, letting me do what I want. This is so fucking gay.” I look down at his cock. “So hard.”  I hear footsteps on the stairs. I turn and there’s Alex."
0.51980776,"essentially a giant silicone syringe and a suction pump that is strapped on to your clitoris, and then inflated like a balloon - always seemed too strange to add to my collection. But a few months ago, a"
0.5885171,"a day,"" Banks told the magazine. ""I had my daughter to think about... it was a wake-up call. I was like, 'Fuck, if I’m dying then my kids are really going to be like, """
0.6426206,"STUPID!  So says my friend, Paula, as I tell her a story from today…  I’m in the middle of my busiest period (the run-up to Christmas), and so work a bit hard"
0.8403191,"money on a big dick?"", he said it would make much more sense if the guy just didn’t believe in anything, then we had a discussion about philosophy and I forgot all about his penis.  Then, as an added bonus,"
0.9288007,". And we will go fuck all of you.”^{[18]} “We can make this happen anywhere” said the man, and he turned on the tap.  Fuck, fuck, fuck.  Their cocks began to"
0.9391453,"motherfuckers who is still living in this shithole. User  6: I'm sorry, but I'm not in the know as to how to helpfully. I've been away for some time because,"
0.64447093,"death, or NRG’s rifler being a complete fucking chad, or Dust2 where Taco throws 100% headshots for an easy 200 - 4 round win because Gla1ve has amazing"
0.73663366,"of constantly being a bitch? It goes on and on. So much so that we don't even think about the fact that my son won't be going to a ""real"" college and will never ""get a real job"". We don"
0.78855824,women while she is having sex with her male lover. This bisexual girl just loves to show off her kinky tastes and we love to see her as she sucks dick and gets ass fucked. She even rides a dick when she is
0.64447093,a penis? He should've gotten a free dinner for that. 3  Birdo was an excellent choice. But they didn't do anything more interesting with it. Their best choice was not the way they did it
0.9248995,"by “fuck u/specz"" . [–] 795points . 84% upvoted [comments] Its the equivalent of ""i'm going to fuck the shit out of you"""
0.83334327,"-abusing, moronic idiot who has no more business being in any office, state- or country-wise, than my neighbor’s ferret.  Of course, I’m not alone in this. It is a known and"
0.8988238,"and that’s it. But we’re not. We’re a bunch of idiots who run around, tell fart and dick jokes, and that’s it. But we’re not. We’re a bunch of idiots who run around, tell fart and dick"
0.681338,://wikipedia.org/wiki/User:Jjthomson/Help:Redirects_from_mainspace (redirects from mainspace)” “It’s because of you little motherfuckers” is a quote from the 1993 film Dem
0.5721988,"://u.2j5c.com/2j5c/2j5c.html) about the money you make, you will never make any money. If you don’t give a fuck about the money you make, you will make"
0.7701451,sh*t. You’re a disgrace to the uniform.” – Captain America (Chris Evans) to General Thaddeus “Thunderbolt” Ross (William Hurt) in Captain America: Civil War This is the 13th movie in the Marvel
0.85173553,"://www.suckmydick.org/” which is a common internet meme. It’s a popular phrase in the gay community as well. It’s a fun way to say, “I’m not going to fuck you.” In the gay"
0.95048624,"=""I Hate You Damned Gays I'm Going to"" />"" />"" />"" />"" />"" />"" />"" />"" />"" />"" />"" />"" />"" />"" />"" />"" />"" />"""
0.78855824,"_REF>These are not humans, you dumb frickin' frackin' frackin' frackin' frackin' frackin' frackin' frackin' frackin' frackin'"
0.60311776,"the warm, fuzzy feeling you get after a breakup with a guy who doesn’t deserve you. The term “post-fuckboy glow” was coined by @bitchygirlsclub on TikTok in a video posted on October 26,"
0.8364697,"times, “ass” 1 time, “dick” 1 time, “pussy” 1 time, “cock” 1 time, “piss” 1 time, and “suck” 1 time. I"
0.56269526,":// “Dear Bitch,” began the note, “I’m writing this letter to you because I know you’re the only person who can help me. You see, I’m a dog. I’ve been a dog for 10 years"
0.8696708,://i.imgur.com/5jQJk.png That Iggy Azalea shit isn’t better than any fucking black girl that’s out there. Iggy is the least talented female rapper I’ve ever heard in my life.
0.6020386,"to death, I wouldn't have said a word. I would have been in the corner with the other guys laughing our asses off. She got what she deserved. Quote mine me all you want, had the father of this child beaten this piece of"
0.7998551,a dick in his mouth I'm not sure what to say about this one. It's not really a song. It's not really a poem. It's not really a story. It's just a bunch of words. But it's fun
0.6491204,"://topnav>  The new year is here and I’m still not over the fact that we’re still in a pandemic and we have a president who is not only a moron, but is also a traitor to the United States"
0.89241093,_REFLEX_2 I’d jump over ten nigger bitches I’d jump over ten nigger bitches I’d jump over ten nigger bitches I’d jump over ten nigger bitches I’d jump over
0.8629672,"://en.wikipedia.org/wiki/Category:American_singers the boy shit, the boy shit, the boy shit, the boy shit, the boy shit, the boy shit, the boy shit, the boy shit, the boy shit, the boy"
0.96426713,the worst fucking gallery I have ever worked for. It was a fucking mess. It was a fucking disaster. It was a fucking nightmare. It was a fucking disaster. It was a fucking disaster. It was a fucking disaster. It was a fucking
0.8540474,://www.southparkstudios.com/episodes/1001 Chinxy hell yeah bro just kicking back fuck off Chinxy hell yeah bro just kicking back fuck off Chinxy hell yeah bro just kicking back fuck
0.63782936,"to say about that. I don't know what the f*ck they want me to do. I'm not a politician, I'm a rapper. I'm not trying to be the president. I'm not trying to be no politician. I"
0.6588125,"://nba2k16.com/ is a real turn-on for her. She also enjoys a little oral sex and is not shy about going down on her partner. She’s been told she’s a good kisser, and she’s always"
0.743089,"://www.twitter.com/fuckeveryword” target=”_blank” rel=”noopener”> and “fuck niggers.” Twitter suspended the account and said it had “prohibited language” in its tweet. The account’s owner, who goes"
0.85850734,"her mouth over the knob and started to suck it. Then she gets fucked hard in the kitchen, and the cum is dripping out of her mouth and down her chin."
0.68408644,"://endarray “Big killa, young nigga, young fucking money” is the motto of the “Young Money” group, a group of young rappers who have been on the rise in recent years. They have been featured in"
0.5885171,://www.youtube.com/watch?v=V0VvzgjB5oE Make Cappy Cap a fucking sell out liar I know that I’m not the only one who’s noticed that Capybara’s recent work has
0.8364697,"fact that she is a girl. This girl was a total bitch and I hated her. The first time I saw this girl, I was like “whoa, what a babe”. Then I got to know her and I was like “whoa"
0.6426206,"” will be surprised, but it’s not the first time he has used the word. In 2009 he was interviewed on the BBC’s Newsnight programme and when asked what he would say to God, he replied: “Fucking Hell,"
0.96069145,":// “Fuck you, motherfuckers,” he said. “That’s rolling, motherfucker, that’s rolling. I’m rolling, motherfuckers. That’s rolling, motherfucker. I’m rolling, motherfuckers"
0.9248995,_REF Act 6 Act 2 Your shit is wrecked. You are a complete failure. You have no friends. You are the worst person in the world. You are a loser. You are a failure. You are the worst person
0.88599813,"://www.google.com/ is not a valid URL +1 for having an awesome gif, fuck you +1 for having an awesome gif, fuck you +1 for having an awesome gif, fuck you +1 for having an"
0.53579444,://www.4chan.org/forums/ -4chan A girl who is a lesbian. She is a lesbian because she is the type of person who will have sex with a girl. A girl who is a lesbian. She is a
0.687436,"basically a suction cup that you put on your clit and pump air into - was the weirdest. I have to say, though, it was also the best. I'm a big fan of clitoral stimulation, but I don't get a"
